accession	description	tax_id	base_count	first_public
U26841	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.	40369	957	1995-06-30
AB261139	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368	845	2007-11-03
AB932657	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.	30031	824	2014-10-26
AB932665	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.	119223	857	2015-01-14
AB932675	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.	95625	849	2014-10-26
AB033643	Drosophila funebris Adh mRNA for alcohol dehydrogenase, partial cds.	7221	711	1999-11-16
AB932649	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.	106246	1100	2015-01-14
U26846	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.	7244	13087	1995-06-22
U76468	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	54075	899	1996-11-19
AB033641	Drosophila polychaeta Adh mRNA for alcohol dehydrogenase, partial cds.	30041	711	1999-11-16
AB932656	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.	7221	845	2014-10-26
AB932658	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368	845	2014-10-26
AB932667	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.	7283	822	2014-10-26
LC578831	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.	95623	706	2022-04-03
U26840	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.	40369	957	1995-06-30
AY095949	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.	7283	430	2003-05-01
DQ471615	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.	381448	711	2006-07-20
MK017217	UNVERIFIED: Drosophila subpalustris adh-related-like (Adhr) gene, partial sequence.	95625	495	2018-12-05
MK017223	UNVERIFIED: Drosophila tripunctata adh-related-like (Adhr) gene, partial sequence.	141217	495	2018-12-05
DQ471650	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.	311475	711	2006-07-20
MK017200	UNVERIFIED: Drosophila acutilabella adh-related-like (Adhr) gene, partial sequence.	133978	473	2018-12-05
MK017210	UNVERIFIED: Drosophila nigromaculata adh-related-like (Adhr) gene, partial sequence.	198721	495	2018-12-05
MK017214	UNVERIFIED: Drosophila quinaria adh-related-like (Adhr) gene, partial sequence.	95624	495	2018-12-05
AY095944	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.	126591	443	2003-05-01
DQ471651	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.	119604	711	2006-07-20
M62851	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7277	924	1991-04-10
MK017202	UNVERIFIED: Drosophila brachynephros adh-related-like (Adhr) gene, partial sequence.	106246	495	2018-12-05
MK017211	UNVERIFIED: Drosophila occidentalis adh-related-like (Adhr) gene, partial sequence.	198722	495	2018-12-05
MK017218	UNVERIFIED: Drosophila subquinaria adh-related-like (Adhr) gene, partial sequence.	198725	495	2018-12-05
M62741	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7263	909	1991-07-11
DQ471626	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.	30041	711	2006-07-20
AF136657	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
LC057803	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: SS99.	42062	851	2015-06-26
LC057804	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: TNR35.	42062	851	2015-06-26
LC057779	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KKU204.	7291	846	2015-06-26
LC057797	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: K33.	42062	851	2015-06-26
AF136662	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136680	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136690	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136707	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.	40372	884	1999-06-03
EU999243	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.	40366	845	2008-09-09
LC057801	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: NHO8.	42062	851	2015-06-26
AF136685	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136691	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
EF560578	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306030	624	2008-05-01
AF136669	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
U76472	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
AF136679	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY340282	Drosophila americana pop-variant DN01.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340281	Drosophila americana pop-variant DN01.01X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
U76482	Drosophila mulleri strain -1371.19 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231	902	1997-03-06
AY695386	Drosophila cardini alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133981	1133	2006-08-01
AY154850	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	878	2003-03-03
AY154861	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY044126	Drosophila albomicans alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	7291	725	2002-08-06
AB932668	Drosophila polymorpha Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2231.00.	133991	833	2014-10-26
AB932670	Drosophila quinaria Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701-1.	95624	851	2014-10-26
AY044122	Drosophila annulipes alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157053	722	2002-08-06
AY154847	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	878	2003-03-03
AY154855	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY154857	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY154860	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY154869	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	880	2003-03-03
DQ471609	Drosophila cf. cheda BCW-2006 strain 241 alcohol dehydrogenase (Adh) gene, partial cds.	381457	711	2006-07-20
AY154829	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
AY154838	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
AY154870	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	879	2003-03-03
AY165517	Drosophila americana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	40366	743	2003-04-22
